Author;Probability;Topic
Фонвизин, Денис Иванович;25.74;Topic0
Фонвизин, Денис Иванович;11.4;Topic1
Фонвизин, Денис Иванович;8.79;Topic2
Фонвизин, Денис Иванович;12.83;Topic3
Фонвизин, Денис Иванович;41.24;Topic4
Островский, Александр Николаевич;13.71;Topic0
Островский, Александр Николаевич;7.82;Topic1
Островский, Александр Николаевич;25.46;Topic2
Островский, Александр Николаевич;1.27;Topic3
Островский, Александр Николаевич;51.75;Topic4
Пушкин, Александр Сергеевич;4.23;Topic0
Пушкин, Александр Сергеевич;33.66;Topic1
Пушкин, Александр Сергеевич;30.33;Topic2
Пушкин, Александр Сергеевич;14.29;Topic3
Пушкин, Александр Сергеевич;17.49;Topic4
Крылов, Иван Андреевич;28.81;Topic0
Крылов, Иван Андреевич;25.54;Topic1
Крылов, Иван Андреевич;14.09;Topic2
Крылов, Иван Андреевич;5.52;Topic3
Крылов, Иван Андреевич;26.04;Topic4
Сухово-Кобылин, Александр Васильевич;13.66;Topic0
Сухово-Кобылин, Александр Васильевич;10.28;Topic1
Сухово-Кобылин, Александр Васильевич;32.16;Topic2
Сухово-Кобылин, Александр Васильевич;4.45;Topic3
Сухово-Кобылин, Александр Васильевич;39.45;Topic4
Толстой, Лев Николаевич;22.35;Topic0
Толстой, Лев Николаевич;4.58;Topic1
Толстой, Лев Николаевич;15.13;Topic2
Толстой, Лев Николаевич;0.04;Topic3
Толстой, Лев Николаевич;57.9;Topic4
Гумилёв, Николай Степанович;2.67;Topic0
Гумилёв, Николай Степанович;53.03;Topic1
Гумилёв, Николай Степанович;31.84;Topic2
Гумилёв, Николай Степанович;5.91;Topic3
Гумилёв, Николай Степанович;6.55;Topic4
Гоголь, Николай Васильевич;23.97;Topic0
Гоголь, Николай Васильевич;4.29;Topic1
Гоголь, Николай Васильевич;37.47;Topic2
Гоголь, Николай Васильевич;1.14;Topic3
Гоголь, Николай Васильевич;33.13;Topic4
Сумароков, Александр Петрович;1.52;Topic0
Сумароков, Александр Петрович;91.77;Topic1
Сумароков, Александр Петрович;0.15;Topic2
Сумароков, Александр Петрович;6.53;Topic3
Сумароков, Александр Петрович;0.03;Topic4
Шаховской, Александр Александрович;45.22;Topic0
Шаховской, Александр Александрович;8.72;Topic1
Шаховской, Александр Александрович;15.98;Topic2
Шаховской, Александр Александрович;5.07;Topic3
Шаховской, Александр Александрович;25.01;Topic4
Чехов, Антон Павлович;7.71;Topic0
Чехов, Антон Павлович;6.49;Topic1
Чехов, Антон Павлович;54.8;Topic2
Чехов, Антон Павлович;4.28;Topic3
Чехов, Антон Павлович;26.72;Topic4
Блок, Александр Александрович;6.94;Topic0
Блок, Александр Александрович;33.92;Topic1
Блок, Александр Александрович;55.16;Topic2
Блок, Александр Александрович;1.94;Topic3
Блок, Александр Александрович;2.04;Topic4
Булгаков, Михаил Афанасьевич;12.51;Topic0
Булгаков, Михаил Афанасьевич;4.16;Topic1
Булгаков, Михаил Афанасьевич;59.77;Topic2
Булгаков, Михаил Афанасьевич;16.42;Topic3
Булгаков, Михаил Афанасьевич;7.15;Topic4
Тургенев, Иван Сергеевич;20.7;Topic0
Тургенев, Иван Сергеевич;4.57;Topic1
Тургенев, Иван Сергеевич;50.44;Topic2
Тургенев, Иван Сергеевич;1.32;Topic3
Тургенев, Иван Сергеевич;22.97;Topic4
Толстой, Алексей Константинович;0.2;Topic0
Толстой, Алексей Константинович;7.9;Topic1
Толстой, Алексей Константинович;1.23;Topic2
Толстой, Алексей Константинович;88.18;Topic3
Толстой, Алексей Константинович;2.49;Topic4
